Bidang_IT;Posisi_Pekerjaan;Nama_Perusahaan;Lokasi;Gaji;Syarat_Deskripsi_Pekerjaan;Link_Detail;Skill_Python;Skill_SQL;Skill_Javascript;Skill_PHP;Skill_Java_Kotlin;Skill_Excel;Skill_Cloud_AWS_GCP;Skill_Docker_K8s;Skill_Git;Skill_English;Skill_Agile_Scrum;Skill_Networking_Security;Gaji_Clean
Cloud & DevOps;Database administrator;PT Artha Infotama (Jakarta);Central Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92781777?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Cyber Security Specialist;PT Minori;South Cikarang;Rp 10.000.000 – Rp 12.000.000 per month;Lingkungan Kerja yang Nyaman | Jenjang Karir | Salary yang kompetitif;https://id.jobstreet.com/job/93103339?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;11000000.0
Cyber Security;Cyber Security Officer;Lembaga Pengkajian Pangan, Obat-Obatan dan Kosmetika MUI;Bogor;IDR Disembunyikan;Religious Culture | Annual bonus | Lunch;https://id.jobstreet.com/job/93002098?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Information Security Policy Specialist;PT SMART,Tbk;South Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93143416?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;IT Security Staff;PT KREDIT PLUS TEKNOLOGI;Tangerang;Rp 7.200.000 – Rp 10.000.000 per month;BPJS TK DAN KES | ASURANSI | WORK LIFE BALANCE;https://id.jobstreet.com/job/92719265?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;8600000.0
Cyber Security;Sales Manager (for Cyber Security);PT Seraphim Digital Technology;West Jakarta;IDR Disembunyikan;Benefit : Sallary, Allowance, Insurance, Bonus, THR, Training & Dev | Facilities : Laptop / PC, Wifi;https://id.jobstreet.com/job/92892249?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;1;0;0;0;0;0;0;0;0;
Cyber Security;IT Security and Governance Supervisor;PT Mahadana Dasha Utama;Cilandak;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92942158?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;SOC L2 (Security Operation Center Layer 2);PT Karya Solusi Prima Sejahtera;Jakarta;Rp 10.000.000 – Rp 15.000.000 per month;Lihat detail pada link.;https://id.jobstreet.com/job/93136861?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;12500000.0
Cyber Security;ICT Information Security Team Lead;PT Petrolink Services Indonesia;South Jakarta;IDR Disembunyikan;Working globally with international talents | Develop cutting edge technology | Hybrid work arrangement;https://id.jobstreet.com/job/92963352?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;
Cyber Security;Security;PT Kafe Batavia Fatahillah;West Jakarta;Rp 3.000.000 – Rp 3.500.000 per month;Lihat detail pada link.;https://id.jobstreet.com/job/92941297?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;3250000.0
Cyber Security;Presales Consultant (Cybersecurity);PT. PELINDUNG TEKNOLOGI UTAMA;Central Jakarta;Rp 13.000.000 – Rp 19.000.000 per month;Lihat detail pada link.;https://id.jobstreet.com/job/92776166?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;16000000.0
Cyber Security;Security Analyst (SOC L1);PT. Lintas Teknologi Indonesia;South Jakarta;IDR Disembunyikan;Attractive benefit | Will have broad exposure with different customer(s) | Certifications;https://id.jobstreet.com/job/92839823?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;IT Security Officer;PT. Universal Agri Bisnisindo;Jakarta;IDR Disembunyikan;BPJS Kesehatan | BPJS Ketenagakerjaan | Pensiun;https://id.jobstreet.com/job/92780367?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;
Cyber Security;Country Manager - IT Cyber Security - South Jakarta (ID: 704873);PT PERSOL RECRUITMENT INDONESIA;South Jakarta;Rp 90.000.000 – Rp 120.000.000 per month;Lihat detail pada link.;https://id.jobstreet.com/job/92796503?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;105000000.0
Cyber Security;Security;PT Sinarindo Wiranusa Elektrik;Bantargebang;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92894454?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;IT Security Officer;PT Pulau Sambu;North Jakarta;IDR Disembunyikan;Kesempatan untuk meningkatkan skill. | Tantangan untuk mengembangkan perusahaan. | Good and friendly work environment.;https://id.jobstreet.com/job/92574851?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;IT Infrastruktur & Security;PT Sakalaguna Semesta;South Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92776770?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Regional Operation Staff Surabaya (Security Services);PT Nawakara Perkasa Nusantara;Surabaya;IDR Disembunyikan;Nawakara is a Market Leader in the Security Services Industry | Clear Vision, Mission, Strategy, Targets and have a good System | Hybrid Working;https://id.jobstreet.com/job/92904664?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;1;
Cyber Security;IT Security Consultant;PT Aplikanusa Lintasarta;Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92809301?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Compliance, Anti-Fraud, and IC Division Head;PT Bank SBI Indonesia;Central Jakarta;IDR Disembunyikan;2x Festive Allowance | Competitive Benefit Health Package | Good Career Path;https://id.jobstreet.com/job/92977566?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Network Security – Senior Officer;PT Daya5 Rekrutmen;South Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93037461?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Network Engineer (CCNA certification active);PT Aplikanusa Lintasarta;Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93053366?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;IT Security Engineer (SOC);PT. Berca Hardayaperkasa;Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93089187?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Senior Network Engineer;PT Aplikanusa Lintasarta;Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93032778?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
